"","slope","Tm","min"
"769855638",0.0405028879613987,2.81241593256241e-06,0.243478866131407
"769855817",0.0408790028739617,4.75436140389846e-07,0.0729672553349497
"769855992",0.0552447307356019,8.82748553047379e-06,0.475816810533263
"769856071",0.0477157641687302,3.12933030613058e-05,0.670974947723767
"769856378",0.0261075717298197,6.23628612834894e-07,0.432486873207065
"769857383",0.0106547447502563,1.16257993365496e-06,0.229080918817559
"769857577",0.0438876624222939,6.87265017686302e-07,0.0584323085391862
"769857603",0.014820912521187,1.41156799549967e-06,0.231287484768148
"769857915",0.0396068775867286,7.17086186538487e-07,0.229945697234165
"769858875",0.942621061822583,0.998665343731034,0.999776765747444
"769859538",0.022524051809642,2.53532649320007e-06,0.463446938521229
"769859585",0.0383598443331623,2.1260057827284e-06,0.475385322570994
"769859727",0.775036424891823,0.829236298526173,0.973554378819387
"769859731",0.949517502077573,0.998822102154967,0.999801855067612
"769859858",0.788551489562735,0.854223433292049,0.964471474059238
"769859864",0.939339433125958,0.998730933638438,0.99979366112631
"769860011",0.0495241056530727,1.71393453713297e-07,0.0688987240203692
"769860019",0.0431465650239297,1.59357278351416e-07,0.0217590505913848
"769861310",0.0325132030197997,2.28153628383328e-07,0.049064124634782
"769861993",0.037533662648503,6.04980663230023e-07,0.303146939201791
"769862074",0.03779726973628,2.51682551769614e-07,0.0877868435187521
"769862115",0.0106433583263493,8.55761412944118e-08,0.0160671409306437
"769862226",0.0495155328770979,5.26390593690438e-07,0.367228600115551
"769862463",0.0275317888621716,2.30890312104649e-06,0.20396669633007
"769863326",0.0287047053916827,2.17081182710542e-06,0.382769643359687
"769864843",0.0280105832015537,1.61799560383965e-05,0.677008744920812
"769865238",0.0396403527239792,8.62616642316383e-08,0.0349889444781553
"769865548",0.0313477316992707,3.72547259333767e-07,0.162787098754972
"769865653",0.0348066734623229,1.65239654146043e-07,0.0606969214331401
"769865755",0.0370955542130616,4.66784760546237e-07,0.171549240239694
"769866073",0.0415125601878157,2.6670916764554e-07,0.0517016557154342
"769866308",0.0585731107395126,2.78231992118901e-07,0.0511584351480547
"769867367",0.0561830111974129,2.24672027087535e-07,0.0150300221554431
"769867742",0.0318849527315617,1.42224072704981e-06,0.324149345649392
"769867797",0.0566268755813979,1.19268395644768e-07,0.0373514336971401
"769868047",0.0362735805470182,2.42495454866805e-07,0.141722375441668
"769868338",0.0396349822356478,5.34301794640303e-06,0.285612726602252
"769868833",0.0862598543784643,7.42794362169542e-07,0.0366319304388016
"769868963",0.0647387496786578,5.02167617902394e-07,0.118248123667134
